"american","dbo:occupation Photographer", "0.24", "e dbo:occupation Photographer", "Photographer", "Coherence=0.24 condAB=0.857142857142857 condBA=0.333333333333333 supA=7.0 supB=18.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/occupation", "http://dbpedia.org/resource/Photographer", "dbo:Photographer in c_e and 'an American' in l_e(c,p,so) ", 
"","dbp:club Oxford_University_Cricket_Club", "0.0188235294117647", "e dbp:club Oxford_University_Cricket_Club", "Cricketer", "Coherence=0.0188235294117647 condAB=0.4 condBA=0.0197530864197531 supA=20.0 supB=405.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Oxford_University_Cricket_Club", "dbo:Cricketer in c_e and ' where ' in l_e(c,p,os) ", 
"","dbp:country India@en", "0.017274472168906", "e dbp:country India@en", "Cricketer", "Coherence=0.017274472168906 condAB=0.642857142857143 condBA=0.0177514792899408 supA=14.0 supB=507.0", "NN", "Coherence", "e", "http://dbpedia.org/property/country", ""India"@en", "dbo:Cricketer in c_e and ' is an ' in l_e(c,p,so) ", 
"","dbp:birthPlace Sri_Lanka", "0.0612244897959184", "e dbp:birthPlace Sri_Lanka", "Cricketer", "Coherence=0.0612244897959184 condAB=1.0 condBA=0.0652173913043478 supA=6.0 supB=92.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Sri_Lanka", "dbo:Cricketer in c_e and '), or ' in l_e(c,p,os) ", 
"","dbp:club Cambridge_University_Cricket_Club", "0.0472103004291846", "e dbp:club Cambridge_University_Cricket_Club", "Cricketer", "Coherence=0.0472103004291846 condAB=0.323529411764706 condBA=0.0552763819095477 supA=34.0 supB=199.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Cambridge_University_Cricket_Club", "dbo:Cricketer in c_e and ', where ' in l_e(c,p,os) ", 
"","dbp:club Oxford_University_Cricket_Club", "0.0296127562642369", "e dbp:club Oxford_University_Cricket_Club", "Cricketer", "Coherence=0.0296127562642369 condAB=0.382352941176471 condBA=0.0320987654320988 supA=34.0 supB=405.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Oxford_University_Cricket_Club", "dbo:Cricketer in c_e and ', where ' in l_e(c,p,os) ", 
"","dbp:column List_A_cricket", "0.0018875047187618", "e dbp:column List_A_cricket", "Cricketer", "Coherence=0.0018875047187618 condAB=1.0 condBA=0.0018910741301059 supA=5.0 supB=2644.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/List_A_cricket", "dbo:Cricketer in c_e and '10 further' in l_e(c,p,so) ", 
"","dbp:birthPlace England", "0.00502092050209205", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00502092050209205 condAB=1.0 condBA=0.00504625735912532 supA=6.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and '1849' in l_e(c,p,so) ", 
"","dbp:birthPlace England", "0.00502092050209205", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00502092050209205 condAB=1.0 condBA=0.00504625735912532 supA=6.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and '1854' in l_e(c,p,so) ", 
"","dbp:birthPlace England", "0.00501672240802676", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00501672240802676 condAB=0.857142857142857 condBA=0.00504625735912532 supA=7.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and '1865' in l_e(c,p,so) ", 
"","dbp:tenfor â@en", "0.00305997552019584", "e dbp:tenfor â@en", "Cricketer", "Coherence=0.00305997552019584 condAB=0.833333333333333 condBA=0.00307125307125307 supA=6.0 supB=1628.0", "NN", "Coherence", "e", "http://dbpedia.org/property/tenfor", ""â"@en", "dbo:Cricketer in c_e and '1865' in l_e(c,p,so) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1875' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1885' in l_e(c,p,os) ", 
"","dbp:birthPlace England", "0.00418410041841004", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00418410041841004 condAB=0.833333333333333 condBA=0.00420521446593776 supA=6.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and '1895' in l_e(c,p,so) ", 
"","dbp:column First-class_cricket", "0.00191350937619594", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00191350937619594 condAB=1.0 condBA=0.00191717791411043 supA=10.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1895' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00114898506319418", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00114898506319418 condAB=1.0 condBA=0.00115030674846626 supA=6.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1898' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1899' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1901' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1902' in l_e(c,p,os) ", 
"","dbo:birthPlace England", "0.0040453074433657", "e dbo:birthPlace England", "Cricketer", "Coherence=0.0040453074433657 condAB=1.0 condBA=0.00406173842404549 supA=5.0 supB=1231.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and '1905' in l_e(c,p,so) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1907' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00114898506319418", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00114898506319418 condAB=1.0 condBA=0.00115030674846626 supA=6.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1908' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1909' in l_e(c,p,os) ", 
"","dbp:club Gloucestershire_County_Cricket_Club", "0.0257731958762887", "e dbp:club Gloucestershire_County_Cricket_Club", "Cricketer", "Coherence=0.0257731958762887 condAB=0.5 condBA=0.0271739130434783 supA=10.0 supB=184.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Gloucestershire_County_Cricket_Club", "dbo:Cricketer in c_e and '1909' in l_e(c,p,os) ", 
"","dbp:club Somerset_County_Cricket_Club", "0.024390243902439", "e dbp:club Somerset_County_Cricket_Club", "Cricketer", "Coherence=0.024390243902439 condAB=0.5 condBA=0.0256410256410256 supA=10.0 supB=195.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Somerset_County_Cricket_Club", "dbo:Cricketer in c_e and '1909' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1910' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00153139356814701", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00153139356814701 condAB=1.0 condBA=0.00153374233128834 supA=8.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1912' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1913' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1914' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1919' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00395569620253164", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00395569620253164 condAB=0.5 condBA=0.00398724082934609 supA=10.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1920' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00191350937619594", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00191350937619594 condAB=1.0 condBA=0.00191717791411043 supA=10.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1920' in l_e(c,p,os) ", 
"","dbp:birthPlace England", "0.00418060200668896", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00418060200668896 condAB=0.714285714285714 condBA=0.00420521446593776 supA=7.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and '1921' in l_e(c,p,so) ", 
"","dbp:column First-class_cricket", "0.00210445762387603", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00210445762387603 condAB=1.0 condBA=0.00210889570552147 supA=11.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1921' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1924' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1925' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1927' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1928' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1929' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00475059382422803", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00475059382422803 condAB=0.666666666666667 condBA=0.00478468899521531 supA=9.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1930' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00172248803827751", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00172248803827751 condAB=1.0 condBA=0.00172546012269939 supA=9.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1930' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1932' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00552922590837283", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00552922590837283 condAB=0.583333333333333 condBA=0.00558213716108453 supA=12.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1933' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00229533282325937", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00229533282325937 condAB=1.0 condBA=0.00230061349693252 supA=12.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1933' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57487552661815E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57487552661815E-4 condAB=0.833333333333333 condBA=9.58588957055215E-4 supA=6.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1934' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00153139356814701", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00153139356814701 condAB=1.0 condBA=0.00153374233128834 supA=8.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1935' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00191350937619594", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00191350937619594 condAB=1.0 condBA=0.00191717791411043 supA=10.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1936' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1939' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00474308300395257", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00474308300395257 condAB=0.545454545454545 condBA=0.00478468899521531 supA=11.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1947' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1947 and' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00394944707740916", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00394944707740916 condAB=0.416666666666667 condBA=0.00398724082934609 supA=12.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1948' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00229533282325937", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00229533282325937 condAB=1.0 condBA=0.00230061349693252 supA=12.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1948' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "9.57487552661815E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57487552661815E-4 condAB=0.833333333333333 condBA=9.58588957055215E-4 supA=6.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1949' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00395882818685669", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00395882818685669 condAB=0.555555555555556 condBA=0.00398724082934609 supA=9.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1950' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00172248803827751", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00172248803827751 condAB=1.0 condBA=0.00172546012269939 supA=9.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1950' in l_e(c,p,os) ", 
"","dbp:column Test_cricket", "0.00396510705789056", "e dbp:column Test_cricket", "Cricketer", "Coherence=0.00396510705789056 condAB=0.714285714285714 condBA=0.00398724082934609 supA=7.0 supB=1254.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/Test_cricket", "dbo:Cricketer in c_e and '1951' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00134022592379858", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00134022592379858 condAB=1.0 condBA=0.0013420245398773 supA=7.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1951' in l_e(c,p,os) ", 
"","dbp:column First-class_cricket", "0.00114898506319418", "e dbp:column First-class_cricket", "Cricketer", "Coherence=0.00114898506319418 condAB=1.0 condBA=0.00115030674846626 supA=6.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and '1952' in l_e(c,p,os) ", 
